Data i czas,Poziom,Ważność,Kategoria,Wiadomość,Szczegóły
2025-05-14 08:21:47,INFO,low,General Warning,#-> nt_click | EV_LEKI:CTRL_FAK.DSP_DATA_DO[1] {do} |,"{""process_id"": ""2065"", ""formssessionname"": ""20250514-050445-1-192.168.101.137"", ""formsformname"": ""EV_LEKI"", ""formsdbsessionid"": ""129783248"", ""formsusername"": ""jlezanska@eskulap"", ""thread"": ""2065"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> nt_type | EV_LEKI:CTRL_FAK.DSP_DATA_OD[1] {Wystawione od} | [enc]t7dbwsT3UQnua4zjWP1W9fXk1UT/MgxJtoQ53WEO8P1ROYGM6z36up2Y28HCNbJSwy9fH6R5QToHLtvWyv/PuYKXnZm6PjX63uFMg2/oxM9/E2/69phWvib1QkVuudk1CGD/me4Vd7exYYDn3tueLn69Zv8lDc9DlsKIyEhmGe3kDHGG0t3TBKE856vPs9N0CjEtnsD1xFkUE5ntz4MAZ1B/TBau4ByHO+mucDTM71sHta2c8RdUh9lCMvQWuXsr9dYjFJZhL1mM+Ed9KrsDtwWnmqcQkBMaPt2VwpsiuQ1EYEIixHazbJ4P4pftdYPJdDpJsCyUS1cAz2WWdn4SBQ==[/enc],"{""process_id"": ""2065"", ""formssessionname"": ""20250514-050445-1-192.168.101.137"", ""formsformname"": ""EV_LEKI"", ""formsdbsessionid"": ""129783248"", ""formsusername"": ""jlezanska@eskulap"", ""thread"": ""2065"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"#-> Goto (CtrlFak.DspDataDo[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 1","{""process_id"": ""2065"", ""formssessionname"": ""20250514-050445-1-192.168.101.137"", ""formsformname"": ""EV_LEKI"", ""formsdbsessionid"": ""129783248"", ""formsusername"": ""jlezanska@eskulap"", ""thread"": ""2065"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> Ping - seconds since last user activity: 60,"{""process_id"": ""657"", ""formssessionname"": ""20250514-045820-1-192.168.101.148"", ""formsformname"": ""IPHCH"", ""formsdbsessionid"": ""129787642"", ""formsusername"": ""bwronski@eskulap"", ""thread"": ""657"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> Ping - seconds since last user activity: 2635,"{""process_id"": ""465"", ""formssessionname"": ""20250514-045241-1-192.168.100.20"", ""formsformname"": ""RILOCK"", ""formsdbsessionid"": ""129787559"", ""formsusername"": ""bjania@eskulap"", ""thread"": ""465"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"/->Goto (Sdtp.DspNazwaSciezki[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 0 - OperationResult.Status: Success","{""process_id"": ""231"", ""formssessionname"": ""20250514-045520-1-192.168.101.144"", ""formsformname"": ""RIDIAGTERP"", ""formsdbsessionid"": ""129787597"", ""formsusername"": ""pmaciejewski@eskulap"", ""thread"": ""231"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> nt_click | RIDIAGTERP:SDTP.DSP_NAZWA_SCIEZKI[1] {Nazwa} |,"{""process_id"": ""231"", ""formssessionname"": ""20250514-045520-1-192.168.101.144"", ""formsformname"": ""RIDIAGTERP"", ""formsdbsessionid"": ""129787597"", ""formsusername"": ""pmaciejewski@eskulap"", ""thread"": ""231"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"#-> Goto (Sdtp.DspNazwaSciezki[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 0","{""process_id"": ""231"", ""formssessionname"": ""20250514-045520-1-192.168.101.144"", ""formsformname"": ""RIDIAGTERP"", ""formsdbsessionid"": ""129787597"", ""formsusername"": ""pmaciejewski@eskulap"", ""thread"": ""231"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"/->Goto (Wo.WoVWartosc[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 0 - OperationResult.Status: Success","{""process_id"": ""1385"", ""formssessionname"": ""20250514-045504-1-192.168.103.202"", ""formsformname"": ""ODREALOP"", ""formsdbsessionid"": ""129787595"", ""formsusername"": ""ewozniak@eskulap"", ""thread"": ""1385"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> nt_click | ODREALOP:WO.WO_V_WARTOSC[1] {Realizacja opieki} |,"{""process_id"": ""1385"", ""formssessionname"": ""20250514-045504-1-192.168.103.202"", ""formsformname"": ""ODREALOP"", ""formsdbsessionid"": ""129787595"", ""formsusername"": ""ewozniak@eskulap"", ""thread"": ""1385"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> // ODREALOP,"{""process_id"": ""1385"", ""formssessionname"": ""20250514-045504-1-192.168.103.202"", ""formsformname"": ""ODREALOP"", ""formsdbsessionid"": ""129787595"", ""formsusername"": ""ewozniak@eskulap"", ""thread"": ""1385"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"#-> Goto (Wo.WoVWartosc[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 0","{""process_id"": ""1385"", ""formssessionname"": ""20250514-045504-1-192.168.103.202"", ""formsformname"": ""ODREALOP"", ""formsdbsessionid"": ""129787595"", ""formsusername"": ""ewozniak@eskulap"", ""thread"": ""1385"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"/->Key keyCode:9, (block.item)=(.), (Shift,Ctrl,Alt)=(False,False,False), changes: 1 - OperationResult.Status: Success","{""process_id"": ""1391"", ""formssessionname"": ""20250514-051747-1-192.168.102.2"", ""formsformname"": ""B_SZCZ"", ""formsdbsessionid"": ""129797150"", ""formsusername"": ""dbiedron@eskulap"", ""thread"": ""1391"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,Updating value by user input: Iz.IzAtbLp[0] = [enc]yFwy8VntRKwYk/8avOUUbadXmXR34L3K/W+5oj9248XES1mRfZ3fNcDy0PFA/tyLj/FXsY+zf1+SwpyEWz1+M7AZDu4BaUZ3MhVRjXWONVYr2gObc6OQ5M2U8bjNNr0BzL6eU6I/fNNRx3iPpHKl6mcMv5/GYhifbShp7clbb0wsaF6dfN+/pjQCmLapVLnEU9CwnssNDINgudp6v3U6/xkTvlOL+WfdTl75AbaKaGLzCWAt7cFQvY+xggUOYGt4shH7vrOzOxsv8P3552K1As9yaLeY06ICV6Wm8bxXseCwpZLBRUzHpomXKFxd/4AsHbn3hkLNqQLZwepOTKrTig==[/enc],"{""process_id"": ""154"", ""formssessionname"": ""20250514-051747-1-192.168.102.2"", ""formsformname"": ""B_SZCZ"", ""formsdbsessionid"": ""129797150"", ""formsusername"": ""dbiedron@eskulap"", ""thread"": ""154"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> nt_key |  | TAB,"{""process_id"": ""1391"", ""formssessionname"": ""20250514-051747-1-192.168.102.2"", ""formsformname"": ""B_SZCZ"", ""formsdbsessionid"": ""129797150"", ""formsusername"": ""dbiedron@eskulap"", ""thread"": ""1391"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> nt_type | B_SZCZ:IZ.IZ_ATB_LP[1] {Lp.} | [enc]xw5idWjIQVH77csJ3WIdOMzMifxvJGSS42u6gHDuLxq59LbFGXKUxxgWBizeoKLFaCouTRFN5pMG2gHkoSzaLuIfNhsOEFl7kiF10Gk+0RIHPf+ytLbly3xRkSaUvaG8oUXMi6+QoHdVre7B7YQxllIvvjvjyUYJ/TDOV+KRtfysZSgWmKgf7zZVmIgYeLbcOgpq8ghkIfRnuQPqNFI9IR19hjF70YTyrc5A6BA4BuP8C/WFVpNyRiORYbVsIEH5obS9KmpwAxKa/4fAEhAKaiQ5+frWC76JjvRUV33oQHJkSJTs0niz14lAWkjVWXHuECFxlMRSWwcvwv5+nQPlOw==[/enc],"{""process_id"": ""1391"", ""formssessionname"": ""20250514-051747-1-192.168.102.2"", ""formsformname"": ""B_SZCZ"", ""formsdbsessionid"": ""129797150"", ""formsusername"": ""dbiedron@eskulap"", ""thread"": ""1391"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"#-> Key keyCode:9, (block.item)=(.), (Shift,Ctrl,Alt)=(False,False,False), changes: 1","{""process_id"": ""1391"", ""formssessionname"": ""20250514-051747-1-192.168.102.2"", ""formsformname"": ""B_SZCZ"", ""formsdbsessionid"": ""129797150"", ""formsusername"": ""dbiedron@eskulap"", ""thread"": ""1391"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,Service Status,/->startEdit Iz.IzAtbLp - OperationResult.Status: Success,"{""process_id"": ""461"", ""formssessionname"": ""20250514-051747-1-192.168.102.2"", ""formsformname"": ""B_SZCZ"", ""formsdbsessionid"": ""129797150"", ""formsusername"": ""dbiedron@eskulap"", ""thread"": ""461"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,Service Status,#-> startEdit Iz.IzAtbLp,"{""process_id"": ""461"", ""formssessionname"": ""20250514-051747-1-192.168.102.2"", ""formsformname"": ""B_SZCZ"", ""formsdbsessionid"": ""129797150"", ""formsusername"": ""dbiedron@eskulap"", ""thread"": ""461"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"/->Goto (Wp.DspPPacjent[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 0 - OperationResult.Status: Success","{""process_id"": ""1007"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""1007"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,Updating value by user input: Ps.DspKc[0] = [enc]EFuCeotz3lN+U72GA4HMynxNmEESxR87Q5Y3p5yf5FjJVTiTAWh7U/LehwOhA0MFHB1lDaqUg7lKqBlelrF3zWECRoJi0pgC5FmSjzqP/D8dulSGI1qhZ2AD2ntn07Vm0QpiUM4GnhAiZ6fUBl2rwZyUz2vES88xMHWcdzw24XTQwrTiko1R1WP89TksIrgtzms+tx8Mv8Oy1pe0/aUqozq3GrU/AVWT/AShWiQk92yciYHxzLLuLTvM0tIX9i5vlfe33l8OXTU6JM10JusMSqoJjE6mdlx87MLWfr8uJcN2AywIX1z71knUAPzE8gXUIb4ACvb7N1mvYRLZu0keOA==[/enc],"{""process_id"": ""1641"", ""formssessionname"": ""20250514-045054-1-192.168.101.136"", ""formsformname"": ""RIJGPLST"", ""formsdbsessionid"": ""129787536"", ""formsusername"": ""ikapustianyk@eskulap"", ""thread"": ""1641"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> nt_click | PRWIZYTY:WP.DSP_P_PACJENT[1] {Pacjent} |,"{""process_id"": ""1007"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""1007"", ""type"": ""Info""}"
2025-05-14 08:21:48,INFO,low,General Warning,#-> // PRWIZYTY,"{""process_id"": ""1007"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""1007"", ""type"": ""Info""}"
2025-05-14 08:21:48,INFO,low,General Warning,#-> nt_key |  | F12,"{""process_id"": ""824"", ""formssessionname"": ""20250514-045054-1-192.168.101.136"", ""formsformname"": ""RIJGPLST"", ""formsdbsessionid"": ""129787536"", ""formsusername"": ""ikapustianyk@eskulap"", ""thread"": ""824"", ""type"": ""Info""}"
2025-05-14 08:21:48,INFO,low,General Warning,#-> nt_type | RIJGPLST:PS.DSP_KC[1] {Płatnik} | [enc]PLhuHfe9yGuohODYdb46qphjYjaWHL+yESpgMDDLbbP22kgsDF4IKrx5IKM+40h5U4dnmoK92e4fTmtKMcx/SjOMfGTcDBwzSMR4JryUbETREQS+ZYbtvYWzCmd1Vt2JOFty1+jfQI4rmYjmZ67MTEt3BXb9QMbLgp2fawR7dIh46jG1BIAvsG2D6sDfQBdWvZD4CW5323exNKZDs9Y5OfL7NmI4g4bWHXiCYT21cyayny3ks6vsbXZTa1uWkYV1uZlexSYK4J36pqWqPr8EPAfizMThXc73TBE5OaBSJ5X8PpnhRriyMtOon7pRvBi45EFnBt3doiGdS4EK/JYvjg==[/enc],"{""process_id"": ""824"", ""formssessionname"": ""20250514-045054-1-192.168.101.136"", ""formsformname"": ""RIJGPLST"", ""formsdbsessionid"": ""129787536"", ""formsusername"": ""ikapustianyk@eskulap"", ""thread"": ""824"", ""type"": ""Info""}"
2025-05-14 08:21:48,INFO,low,General Warning,"#-> Goto (Wp.DspPPacjent[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 0","{""process_id"": ""1007"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""1007"", ""type"": ""Info""}"
2025-05-14 08:21:48,INFO,low,General Warning,"#-> Key keyCode:123, (block.item)=(.), (Shift,Ctrl,Alt)=(False,False,False), changes: 1","{""process_id"": ""824"", ""formssessionname"": ""20250514-045054-1-192.168.101.136"", ""formsformname"": ""RIJGPLST"", ""formsdbsessionid"": ""129787536"", ""formsusername"": ""ikapustianyk@eskulap"", ""thread"": ""824"", ""type"": ""Info""}"
2025-05-14 08:21:48,INFO,low,General Warning,"/->Key keyCode:9, (block.item)=(.), (Shift,Ctrl,Alt)=(False,False,False), changes: 1 - OperationResult.Status: Success","{""process_id"": ""15"", ""formssessionname"": ""20250514-051747-1-192.168.102.2"", ""formsformname"": ""B_SZCZ"", ""formsdbsessionid"": ""129797150"", ""formsusername"": ""dbiedron@eskulap"", ""thread"": ""15"", ""type"": ""Info""}"
